circular,n_longerons,n_storeys,twist_angle,ratio_shear_modulus,bow_amplitude,ratio_a,ratio_b,ratio_pitch,ratio_top_diameter,sigma_crit,coilable,_delegation_id,_source,_ts,_wall_ms,max_compressive_strain,max_local_strain
2.0,3.0,1.0,0.0,0.3677,0.0557624334469437,0.0105526787489652,0.0299496477749198,0.7178790582343936,0.5780858153477311,2.1729530483631865,0,D012,supercompressible-material-creative,2026-07-07T03:03:44+00:00,208302.956,,
2.0,3.0,1.0,0.0,0.3677,0.1571657218039036,0.0070370452702045,0.0426134219719097,0.9563462490215896,0.051928480155766,0.5335722518803488,0,D012,supercompressible-material-creative,2026-07-07T03:04:03+00:00,226632.121,,
2.0,3.0,1.0,0.0,0.3677,0.0972936911508441,0.006898506000638,0.0240633502183482,0.8968034468591213,0.2619204567745328,0.3238484782033886,1,D012,supercompressible-material-creative,2026-07-07T03:17:14+00:00,1019649.72,0.0323454793428291,0.0022135872859507
2.0,3.0,1.0,0.0,0.3677,0.0020005313679575,0.0184519666135311,0.0206092684622853,0.4952259452082216,0.3704691594466567,3.3220941788048286,1,D012,supercompressible-material-creative,2026-07-07T03:17:20+00:00,1023745.837,0.4181562291232271,0.035062413662672
2.0,3.0,1.0,0.0,0.3677,0.1219907708466053,0.0041598031073808,0.0290421034954488,0.5369448905810713,0.5128402249887586,0.1609417225863403,1,D012,supercompressible-material-creative,2026-07-07T03:17:43+00:00,1048152.029,0.0640653091737597,0.0030998743604868
2.0,3.0,1.0,0.0,0.3677,0.1310940530151128,0.0082639310806989,0.0270131331728771,0.3552648037672042,0.1585786426439881,0.577753664082659,1,D012,supercompressible-material-creative,2026-07-07T03:19:01+00:00,1125213.834,0.6345238853122885,0.0163666289299726
2.0,3.0,1.0,0.0,0.3677,0.0324243260547518,0.0057796541750431,0.0104196288622915,0.6415835153311491,0.3824031578376889,0.0765768703521884,1,D012,supercompressible-material-creative,2026-07-07T03:19:33+00:00,1157524.447,0.218073655091157,0.007268404122442
2.0,3.0,1.0,0.0,0.3677,0.0448440680280327,0.0140968657732009,0.0355230130581185,0.3162876705639064,0.0175030482932925,2.714843798602472,1,D012,supercompressible-material-creative,2026-07-07T03:20:58+00:00,1242724.568,0.9998889785470428,0.0319583266973495
2.0,3.0,1.0,0.0,0.3677,0.1896640058606863,0.0113828722834587,0.013518849639222,0.7883474353700876,0.3357528353109956,0.5851808947602808,1,D012,supercompressible-material-creative,2026-07-07T03:21:18+00:00,1262655.493,0.0712160472477466,0.0087808966636657
2.0,3.0,1.0,0.0,0.3677,0.1099720370024442,0.0159675829261541,0.016968665192835,0.4305620064027607,0.296635721437633,1.6162927194049734,1,D012,supercompressible-material-creative,2026-07-07T03:33:10+00:00,1973961.388,0.9992563376741764,0.0395510457456111
2.0,3.0,1.0,0.0,0.3677,0.0143852734938263,0.0096755264401435,0.043379881423898,0.470871733315289,0.1366544539108872,1.3672046231366175,1,D012,supercompressible-material-creative,2026-07-07T03:33:53+00:00,2018006.079,0.9999949799312938,0.0208580940961837
2.0,3.0,1.0,0.0,0.3677,0.143098958581686,0.0196124823242425,0.0370443437527865,0.5985481857322157,0.543661586008966,16.001650185049947,1,D012,supercompressible-material-creative,2026-07-07T03:34:49+00:00,2074139.57,0.9984371796568066,0.0707044750452041
2.0,3.0,1.0,0.0,0.3677,0.1766703300178051,0.0167396347224712,0.031877082218416,0.8564516889862717,0.1010602807626128,4.400315866604722,1,D012,supercompressible-material-creative,2026-07-07T03:35:06+00:00,2090289.224,0.0718692424744347,0.0108672883361577
