ratio_pitch,ratio_top_diameter,ratio_a,ratio_b,amplitude_rel,n_undulations,_imperfection_rad,status,converged,riks_converged,stabilization_energy_ratio,sigma_peak,sigma_eig,energy_absorbed,lb_coilable,riks_strain,max_local_strain,feasible,slenderness,local_slenderness,ring_passthrough,mcs_at_peak,mls_full,strain_bound_applied,timed_out,total_material_volume_mm3,serpentine_out_of_plane_fraction,serpentine_apex_u1_range_mm,serpentine_apex_u2_range_mm,self_clearance_min_mm,note,_delegation_id,_source,_ts,_wall_ms,riks_odb_hash
0.519459,0.121418,0.005212,0.018828,0.028218,2.0,,ok,1,1.0,0.0,0.563930369520613,0.0831595187984692,0.0395804438881845,1,0.9495076332194288,0.0188062973320484,1,13.794853409815168,12.86507714502936,0.0,0.9495076332194288,0.0456007346510887,per_frame,0,611.703714708288,0.1579384537082907,1.781631588935852,9.49891185760498,40.475875076284936,,D009,supercompressible-material,2026-08-26T07:10:44+00:00,107936.776,83623e98df7d455f81af13b619f7541e
0.519459,0.121418,0.005212,0.018828,0.028218,2.0,0.0443784427963995,ok,0,0.0,0.0,2.3468725888108004,0.0831595187984692,0.0276267768580931,1,0.5952373027591303,0.0097542954608798,0,13.794853409815168,12.86507714502936,0.0,0.5952373027591303,0.0097542954608798,per_frame,0,611.703714708288,0.141184773227523,1.5368990898132324,9.34882926940918,49.29336115688067,SALVAGED from a partial (non-converged) ODB: stage2 failed: RuntimeError('Abaqus job SUPERCOMPRESSIBLE_RIKS completed with solver errors in its .msg file: ***ERROR: TOO MANY ATTEMPTS MADE FOR THIS INCREMENT; ***ERROR: THE ANALYSIS HAS BEEN TERMINATED DUE TO PREVIOUS ERRORS. ALL OUTPUT'),D009,supercompressible-material,2026-08-26T07:12:29+00:00,86649.069,db69bc84c7dc42d099cf5b37d5b77a28
0.519459,0.121418,0.005212,0.018828,0.028218,2.0,0.0496190116732753,ok,0,0.0,0.0,0.6899773315893062,0.0831595187984692,0.0276771900821844,1,0.6082517345325708,0.009868542663753,0,13.794853409815168,12.86507714502936,0.0,0.6082517345325708,0.009868542663753,per_frame,0,611.703714708288,0.1434221884895832,1.5616942644119265,9.327096939086914,48.780544866932,SALVAGED from a partial (non-converged) ODB: stage2 failed: RuntimeError('Abaqus job SUPERCOMPRESSIBLE_RIKS completed with solver errors in its .msg file: ***ERROR: TOO MANY ATTEMPTS MADE FOR THIS INCREMENT; ***ERROR: THE ANALYSIS HAS BEEN TERMINATED DUE TO PREVIOUS ERRORS. ALL OUTPUT'),D009,supercompressible-material,2026-08-26T07:12:55+00:00,104541.284,35e24ec3899a4be2a633960456229966
0.519459,0.121418,0.005212,0.018828,0.028218,2.0,0.0547729574962847,ok,1,1.0,0.0,0.5511313438071181,0.0831595187984692,0.0398055496474674,1,0.9489542932273124,0.0185359101742506,1,13.794853409815168,12.86507714502936,0.0,0.9489542932273124,0.0411629304289817,per_frame,0,611.703714708288,0.1547236855742777,1.7541342973709106,9.5830717086792,40.5414415038336,,D009,supercompressible-material,2026-08-26T07:12:59+00:00,115454.824,db7fe5da4e3044a29b01cf82e1c46c3c
0.519459,0.121418,0.005212,0.018828,0.028218,2.0,0.0881627165018831,ok,1,1.0,0.0,0.5095783347557343,0.0831595187984692,0.0369758481666897,1,0.9461881807544452,0.0179787017405033,1,13.794853409815168,12.86507714502936,0.0,0.9461881807544452,0.0388617999851703,per_frame,0,611.703714708288,0.16590365648378,1.8275012969970703,9.187935829162598,40.40233463524189,,D009,supercompressible-material,2026-08-26T07:13:05+00:00,120919.02,a925e96ba7394cc8846aacb459a0870c
0.519459,0.121418,0.005212,0.018828,0.028218,2.0,0.0745521585140622,ok,1,1.0,0.0,0.4841553385474723,0.0831595187984692,0.036936871687858,1,0.9450157755820312,0.0175050236284732,1,13.794853409815168,12.86507714502936,0.0,0.9450157755820312,0.0412964709103107,per_frame,0,611.703714708288,0.1607835106524811,1.79703950881958,9.379725456237791,40.46567179624417,,D009,supercompressible-material,2026-08-26T07:13:12+00:00,121789.409,3ee8e8be5f7f4290895bb22bbcfd6ca6
0.519459,0.121418,0.005212,0.018828,0.028218,2.0,0.0704806931086623,ok,1,1.0,0.0,0.4783812686427226,0.0831595187984692,0.036970418272746,1,0.944760732477503,0.0173934735357761,1,13.794853409815168,12.86507714502936,0.0,0.944760732477503,0.0365550182759761,per_frame,0,611.703714708288,0.1604917528183328,1.7895318269729614,9.360772132873535,40.45850175407634,,D009,supercompressible-material,2026-08-26T07:13:23+00:00,133884.711,3c15c78a7df447c186f20956ceecbf79
0.519459,0.121418,0.005212,0.018828,0.028218,2.0,0.0523921109784279,ok,1,1.0,0.0,0.5258290851057844,0.0831595187984692,0.0391857499395475,1,0.9475822891035284,0.0180989690124988,1,13.794853409815168,12.86507714502936,0.0,0.9475822891035284,0.0459463782608509,per_frame,0,611.703714708288,0.1531911603170596,1.7476434707641602,9.660609245300291,40.53329393033258,,D009,supercompressible-material,2026-08-26T07:13:27+00:00,137099.583,2093bf83fa5042f8a03b54992958f41c
0.519459,0.121418,0.005212,0.018828,0.028218,2.0,0.0654680505452266,ok,1,1.0,0.0,0.5193556038300254,0.0831595187984692,0.0383277928120991,1,0.9470622890392713,0.0180483236908912,1,13.794853409815168,12.86507714502936,0.0,0.9470622890392713,0.0394518673419952,per_frame,0,611.703714708288,0.1585262915267855,1.778477907180786,9.44034194946289,40.49504619117965,,D009,supercompressible-material,2026-08-26T07:13:27+00:00,138071.118,9e16c8740a3f4a29a6cdcd349d0ff7f6
0.532685,0.129782,0.006221,0.020331,0.031641,2.0,,ok,1,1.0,0.0,0.6463024104357717,0.1499536653152758,0.0648299086264171,1,0.9286467055560436,0.0190087426453828,1,13.100314790221828,11.173063250622972,0.0,0.9286467055560436,0.0500662960112094,per_frame,0,808.4825586052198,0.1646500169032172,1.869744777679444,9.486128807067873,38.53817597732384,,D011,supercompressible-material,2026-08-26T08:13:41+00:00,125451.089,abbac7d46aaf41b39040e7bd3a6d8cce
